네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2022.04.28. ~ 2022.05.28. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","반바지"
"2022-04-28",82
"2022-04-29",75
"2022-04-30",79
"2022-05-01",82
"2022-05-02",76
"2022-05-03",77
"2022-05-04",76
"2022-05-05",81
"2022-05-06",84
"2022-05-07",84
"2022-05-08",86
"2022-05-09",83
"2022-05-10",85
"2022-05-11",85
"2022-05-12",83
"2022-05-13",78
"2022-05-14",84
"2022-05-15",89
"2022-05-16",87
"2022-05-17",87
"2022-05-18",87
"2022-05-19",83
"2022-05-20",82
"2022-05-21",88
"2022-05-22",99
"2022-05-23",97
"2022-05-24",100
"2022-05-25",96
"2022-05-26",90
"2022-05-27",84
"2022-05-28",87
